date,open,high,low,close,volume,log_return,rolling_volatility
2015-01-02,6792.4,6883.05,6792.4,6866.45,0,0.01177083075645425,
2015-01-05,6877.35,6913.25,6848.25,6857.45,0,-0.0013115807154209182,
2015-01-06,6817.65,6817.65,6646.4,6656.8,0,-0.029696763912044455,
2015-01-07,6653.65,6680.5,6605.4,6644.95,0,-0.0017817209216604009,
2015-01-08,6715.35,6758.25,6708.0,6755.45,0,0.016492418831407642,
2015-01-09,6798.45,6811.3,6727.35,6783.0,0,0.004069895450112091,
2015-01-12,6790.6,6819.1,6763.2,6815.05,0,0.0047139199147930065,
2015-01-13,6835.25,6846.7,6777.7,6801.4,0,-0.0020049285345963798,
2015-01-14,6810.2,6828.9,6759.55,6787.15,0,-0.0020973547911573034,
2015-01-15,6897.15,6962.15,6870.95,6937.5,0,0.021910360519571136,
2015-01-16,6945.1,6970.95,6913.35,6961.45,0,0.003446306908733392,
2015-01-19,6988.3,7013.3,6984.45,6992.15,0,0.0044003052310787084,
2015-01-20,7013.15,7088.55,7013.15,7080.65,0,0.01257762018877965,
2015-01-21,7100.5,7117.0,7071.9,7099.6,0,0.002672733030909906,
2015-01-22,7111.65,7136.1,7092.95,7121.85,0,0.003129078702156218,
2015-01-23,7176.0,7191.9,7137.45,7170.25,0,0.006772998372947633,
2015-01-27,7197.75,7236.8,7169.8,7229.05,0,0.008167109073055342,
2015-01-28,7224.75,7290.45,7210.65,7241.55,0,0.001727641301550549,
2015-01-29,7234.4,7264.55,7203.25,7257.25,0,0.0021656973179026272,
2015-01-30,7293.25,7293.25,7140.15,7166.7,0,-0.012555671582185457,0.010662255715275746
2015-02-02,7164.6,7196.6,7142.0,7172.9,0,0.0008647382613669918,0.010452276902505749
2015-02-03,7196.75,7203.75,7124.2,7137.45,0,-0.00495446617519722,0.010547687638232167
2015-02-04,7164.8,7164.8,7095.3,7108.75,0,-0.004029150064778814,0.007651948293597456
2015-02-05,7116.8,7176.7,7056.4,7076.65,0,-0.004525787752386326,0.007771238364971079
2015-02-06,7070.05,7087.2,7019.7,7029.45,0,-0.006692165255385931,0.007395914670898541
2015-02-09,6973.35,6978.65,6915.45,6922.35,0,-0.015353159275257646,0.008325003907102288
2015-02-10,6889.25,7022.95,6888.05,6959.9,0,0.005409799071175846,0.008342704521561878
2015-02-11,6990.45,7040.45,6990.35,7031.8,0,0.01027761214069921,0.008555232046140806
2015-02-12,7071.15,7117.2,7032.2,7108.2,0,0.010806328638914023,0.008741049117222845
2015-02-13,7134.1,7186.3,7129.8,7176.2,0,0.009520947841528115,0.007649849758497013
2015-02-16,7200.6,7227.05,7162.0,7175.0,0,-0.00016723340247460212,0.007648893789511288
2015-02-18,7182.2,7242.45,7182.2,7228.55,0,0.007435701161150363,0.007738831649388716
2015-02-19,7245.55,7258.95,7168.0,7242.85,0,0.001976312541208805,0.007302632647046046
2015-02-20,7250.75,7250.75,7194.9,7209.4,0,-0.004629045267096362,0.0074034026041044955
2015-02-23,7233.35,7237.15,7134.5,7147.55,0,-0.008616089438130296,0.0076673301887549995
2015-02-24,7162.55,7171.45,7123.2,7146.6,0,-0.00013292151004412725,0.007508655568332646
2015-02-25,7177.45,7204.75,7134.25,7144.2,0,-0.00033588042972594617,0.0072482489510443966
2015-02-26,7154.75,7154.75,7066.05,7077.5,0,-0.009380100699129645,0.007483043683128524
2015-02-27,7111.1,7217.05,7111.1,7210.3,0,0.018589821303875063,0.00867228387893397
