date,open,high,low,close,volume,log_return,rolling_volatility,GARCH_volatility
2015-01-02,6792.4,6883.05,6792.4,6866.45,0,0.0117708307564542,,0.010742840943252282
2015-01-05,6877.35,6913.25,6848.25,6857.45,0,-0.0013115807154209,,0.010741380255468336
2015-01-06,6817.65,6817.65,6646.4,6656.8,0,-0.0296967639120444,,0.009619973780957048
2015-01-07,6653.65,6680.5,6605.4,6644.95,0,-0.0017817209216604,,0.016201211199053264
2015-01-08,6715.35,6758.25,6708.0,6755.45,0,0.0164924188314076,,0.013998922681239272
2015-01-09,6798.45,6811.3,6727.35,6783.0,0,0.004069895450112,,0.014029098426928403
2015-01-12,6790.6,6819.1,6763.2,6815.05,0,0.004713919914793,,0.01227378381305843
2015-01-13,6835.25,6846.7,6777.7,6801.4,0,-0.0020049285345963,,0.01091943444485937
2015-01-14,6810.2,6828.9,6759.55,6787.15,0,-0.0020973547911573,,0.009795150039919936
2015-01-15,6897.15,6962.15,6870.95,6937.5,0,0.0219103605195711,,0.00893032021878647
2015-01-16,6945.1,6970.95,6913.35,6961.45,0,0.0034463069087333,,0.012457468861106099
2015-01-19,6988.3,7013.3,6984.45,6992.15,0,0.0044003052310787,,0.010990292941525552
2015-01-20,7013.15,7088.55,7013.15,7080.65,0,0.0125776201887796,,0.009892932464824929
2015-01-21,7100.5,7117.0,7071.9,7099.6,0,0.0026727330309099,,0.01033190169520254
2015-01-22,7111.65,7136.1,7092.95,7121.85,0,0.0031290787021562,,0.009284446294246754
2015-01-23,7176.0,7191.9,7137.45,7170.25,0,0.0067729983729476,,0.008496381838339872
2015-01-27,7197.75,7236.8,7169.8,7229.05,0,0.0081671090730553,,0.008266046618513044
2015-01-28,7224.75,7290.45,7210.65,7241.55,0,0.0017276413015505,,0.008324966752769078
2015-01-29,7234.4,7264.55,7203.25,7257.25,0,0.0021656973179026,,0.007712851087827789
2015-01-30,7293.25,7293.25,7140.15,7166.7,0,-0.0125556715821854,0.0106622557152757,0.007266687672253911
2015-02-02,7164.6,7196.6,7142.0,7172.9,0,0.0008647382613669,0.0104522769025057,0.009156585631736658
2015-02-03,7196.75,7203.75,7124.2,7137.45,0,-0.0049544661751972,0.0105476876382321,0.008337728469032045
2015-02-04,7164.8,7164.8,7095.3,7108.75,0,-0.0040291500647788,0.0076519482935974,0.008141001621894071
2015-02-05,7116.8,7176.7,7056.4,7076.65,0,-0.0045257877523863,0.007771238364971,0.007875400095613752
2015-02-06,7070.05,7087.2,7019.7,7029.45,0,-0.0066921652553859,0.0073959146708985,0.007750277496468941
2015-02-09,6973.35,6978.65,6915.45,6922.35,0,-0.0153531592752576,0.0083250039071022,0.008019536780027167
2015-02-10,6889.25,7022.95,6888.05,6959.9,0,0.0054097990711758,0.0083427045215618,0.010415746209414559
2015-02-11,6990.45,7040.45,6990.35,7031.8,0,0.0102776121406992,0.0085552320461408,0.009533631793833893
2015-02-12,7071.15,7117.2,7032.2,7108.2,0,0.010806328638914,0.0087410491172228,0.009599457582631088
2015-02-13,7134.1,7186.3,7129.8,7176.2,0,0.0095209478415281,0.007649849758497,0.009750722913833056
2015-02-16,7200.6,7227.05,7162.0,7175.0,0,-0.0001672334024746,0.0076488937895112,0.009609755105880068
2015-02-18,7182.2,7242.45,7182.2,7228.55,0,0.0074357011611503,0.0077388316493887,0.008699775916786697
2015-02-19,7245.55,7258.95,7168.0,7242.85,0,0.0019763125412088,0.007302632647046,0.008510483663671835
2015-02-20,7250.75,7250.75,7194.9,7209.4,0,-0.0046290452670963,0.0074034026041044,0.007859515564293248
2015-02-23,7233.35,7237.15,7134.5,7147.55,0,-0.0086160894381302,0.0076673301887549,0.007753506010939319
2015-02-24,7162.55,7171.45,7123.2,7146.6,0,-0.0001329215100441,0.0075086555683326,0.008420704657498649
2015-02-25,7177.45,7204.75,7134.25,7144.2,0,-0.0003358804297259,0.0072482489510443,0.00778875516675566
2015-02-26,7154.75,7154.75,7066.05,7077.5,0,-0.0093801006991296,0.0074830436831285,0.007320103254071592
2015-02-27,7111.1,7217.05,7111.1,7210.3,0,0.018589821303875,0.0086722838789339,0.008327729546849487
2015-02-28,7262.7,7273.1,7131.4,7239.45,0,0.0040346773533761,0.0082225659041688,0.011052986768392921
2015-03-02,7281.85,7308.0,7234.95,7299.65,0,0.0082811651382888,0.0084048558000956,0.009917055456881485
2015-03-03,7309.5,7352.6,7288.05,7345.55,0,0.0062682858942914,0.008369680245951,0.009521285968057337
2015-03-04,7426.8,7428.1,7260.6,7279.8,0,-0.0089912983900039,0.0086103317017945,0.008950603622740255
2015-03-05,7287.8,7314.8,7238.5,7303.35,0,0.0032297576959012,0.0085135163343583,0.009292884993741814
2015-03-09,7267.15,7267.15,7162.3,7171.5,0,-0.0182183092475158,0.0094421875095973,0.008508303472140634
2015-03-10,7184.4,7199.0,7116.75,7141.7,0,-0.0041639945027153,0.008726599434566,0.011592135217177748
2015-03-11,7156.15,7166.2,7115.8,7126.6,0,-0.0021165809013302,0.0087141078316804,0.010486229919917317
