step,forecast_volatility
100,0.9378643417281228
101,0.9426987403416387
102,0.9587354825056283
103,1.1223027978118578
104,1.1053715523880776
105,1.1208652774069763
106,1.1125242636843267
107,1.0959578430750712
108,1.092986709912379
109,0.9844868386984835
110,1.156683042574491
100,0.9378643417281228
101,0.9426987403416387
102,0.9587354825056283
103,1.1223027978118578
104,1.1053715523880776
105,1.1208652774069763
106,1.1125242636843267
107,1.0959578430750712
108,1.092986709912379
109,0.9844868386984835
110,1.156683042574491
111,1.143431096903585
112,1.1287605420260691
113,1.1172723174852015
114,1.1122954454591172
115,1.0937491208937737
116,1.1190165929978735
117,1.0972766418148225
118,1.0759859891166248
119,1.0588877174520588
120,1.0450302906760782
121,1.0393384060398387
122,0.9547649759831721
123,0.9636050811076986
124,0.9729523353149984
125,0.949935167191871
126,0.9315077584049004
127,0.921908996800297
128,0.936653844830169
129,0.9689723126928836
100,0.9378643417281228
101,0.9426987403416387
102,0.9587354825056283
103,1.1223027978118578
104,1.1053715523880776
105,1.1208652774069763
106,1.1125242636843267
107,1.0959578430750712
108,1.092986709912379
109,0.9844868386984835
110,1.156683042574491
111,1.143431096903585
112,1.1287605420260691
113,1.1172723174852015
114,1.1122954454591172
115,1.0937491208937737
116,1.1190165929978735
117,1.0972766418148225
118,1.0759859891166248
119,1.0588877174520588
120,1.0450302906760782
121,1.0393384060398387
122,0.9547649759831721
123,0.9636050811076986
124,0.9729523353149984
125,0.949935167191871
126,0.9315077584049004
127,0.921908996800297
128,0.936653844830169
129,0.9689723126928836
